epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,184.673,0.80385,0.4445,0.89448,0.99868,0.98361,0.99023,0.78323,0.85692,0.43008,0.86213,0.000416,0.000416,0.000416
82,186.846,0.80242,0.43392,0.90791,0.99872,0.98361,0.98969,0.77927,0.86842,0.45278,0.86296,0.0003962,0.0003962,0.0003962
83,189.007,0.77988,0.45026,0.91084,0.99868,0.98361,0.98969,0.79307,0.83803,0.44322,0.86341,0.0003764,0.0003764,0.0003764
84,191.19,0.80119,0.4522,0.91748,0.99858,0.98361,0.98898,0.78389,0.85707,0.44787,0.86197,0.0003566,0.0003566,0.0003566
85,193.384,0.73127,0.42721,0.89979,0.9985,0.98361,0.98916,0.76767,0.91484,0.44261,0.86485,0.0003368,0.0003368,0.0003368
86,195.568,0.8411,0.46006,0.9035,0.99844,0.98361,0.98931,0.76384,0.92232,0.44964,0.86992,0.000317,0.000317,0.000317
87,197.746,0.7815,0.44188,0.90231,0.99782,0.98361,0.99001,0.76583,0.90629,0.43116,0.86073,0.0002972,0.0002972,0.0002972
88,199.919,0.7704,0.43937,0.89592,0.99727,0.98361,0.9903,0.7864,0.84206,0.41424,0.85293,0.0002774,0.0002774,0.0002774
89,202.087,0.75711,0.43793,0.89844,0.99627,0.98361,0.9903,0.7918,0.84619,0.42455,0.85532,0.0002576,0.0002576,0.0002576
90,204.251,0.75473,0.41961,0.88935,0.99624,0.98361,0.9903,0.78983,0.86237,0.40428,0.85517,0.0002378,0.0002378,0.0002378
91,236.071,0.74524,0.40078,0.87716,0.99605,0.98361,0.99015,0.77349,0.90505,0.41046,0.86051,0.000218,0.000218,0.000218
92,239.198,0.71757,0.40081,0.89029,0.99548,0.98361,0.98988,0.76546,0.91546,0.42174,0.86359,0.0001982,0.0001982,0.0001982
93,242.143,0.72123,0.40257,0.88046,0.99541,0.98361,0.98963,0.77102,0.89977,0.41418,0.86933,0.0001784,0.0001784,0.0001784
94,244.332,0.70944,0.39495,0.86416,0.99583,0.98361,0.98957,0.7755,0.90996,0.4215,0.87356,0.0001586,0.0001586,0.0001586
95,246.494,0.71917,0.39636,0.88929,0.99763,0.98361,0.98969,0.76662,0.92624,0.42287,0.87847,0.0001388,0.0001388,0.0001388
96,248.667,0.70738,0.38506,0.87337,0.99785,0.98361,0.98988,0.77623,0.91719,0.41013,0.87395,0.000119,0.000119,0.000119
97,250.85,0.67395,0.37213,0.87909,0.99743,0.98361,0.98982,0.76589,0.92325,0.40651,0.87119,9.92e-05,9.92e-05,9.92e-05
98,253.057,0.68136,0.37745,0.86772,0.99745,0.98361,0.98982,0.77239,0.90671,0.40565,0.87105,7.94e-05,7.94e-05,7.94e-05
99,255.22,0.66454,0.38464,0.85428,0.99781,0.98361,0.98952,0.77187,0.89932,0.40618,0.86561,5.96e-05,5.96e-05,5.96e-05
100,257.379,0.70222,0.37511,0.87535,0.99806,0.98361,0.98982,0.76852,0.91741,0.40835,0.86495,3.98e-05,3.98e-05,3.98e-05
